Dataset:./datasets/CAIDA/0.dat,,,,,,,Join Ground Truth = 6.79372e+08
Memory,AAE,ARE,VAR,Max,Min,Insert time,Join time
40000,12840587.03,0.018900674,1.68134E+14,22816341,10629809,0.16428691,0.00056946
50000,9438395.37,0.013892825,9.11972E+13,17857677,7515572,0.14284882,0.00063989
60000,7323626.51,0.010779996,5.45199E+13,11671149,5892536,0.13852941,0.00076335
70000,5948561.2,0.008755971,3.6206E+13,10745533,4771359,0.13484137,0.00087803
80000,4884939.98,0.007190377,2.44415E+13,8366530,3769192,0.1332981,0.0010147
90000,4035010.45,0.005939325,1.64754E+13,5370351,3371177,0.13175241,0.0011302
100000,3292115.91,0.004845823,1.10279E+13,5513234,2655068,0.12957602,0.00125722
110000,2796751.42,0.004116672,7.95945E+12,4432371,2238498,0.12705863,0.00138063
120000,2416921.07,0.003557582,5.94725E+12,3802925,1963802,0.1274687,0.00154951
130000,2076794.62,0.003056933,4.39107E+12,3468336,1697949,0.12795993,0.00170064
140000,1829377.39,0.002692748,3.463E+12,4067511,1430640,0.13915625,0.00196186
150000,1576494.04,0.002320517,2.53649E+12,2629006,1276860,0.14056894,0.00218573
160000,1429523.47,0.002104184,2.09592E+12,2597721,1112674,0.13310132,0.00221765
170000,1345003.77,0.001979775,2.55738E+12,9323933,962643,0.13528537,0.00240971
180000,1085960.49,0.001598477,1.19522E+12,1677499,839413,0.12479499,0.00237698
190000,1009566.14,0.001486029,1.06675E+12,2235024,772397,0.11776097,0.00240805
200000,886783.24,0.001305299,8.01997E+11,1376221,676110,0.11558195,0.00251326
